Ánlúan	Ánlúan,Ánlúain
Áed	Aeda,Áed,Áedo,Aed,Áeda,nÁedo,Aodh,Aódh,Áodh
Sláine	Sláine,Sláne,Slane
Aífe	Aiffe,Aiffi,Aífe,Aoife
Ailill	Ailill,Ailella,Ailill,Ailello,Aillell,Oilioll
Máta	Máta,Magach
Aíe	Aíe
Amergin	Aimirgin,Amergin,Amergin,Amairgin,Amorgen,Amorgene
Eccit	Eccit,Eiccitsach
Aithramail	Aithramail,Aithremail,Aithramail
Allatruim	Allatruim,Alatruim
Ruad	Ruad,Ruadh
Athirne	Athirne,Athirni,Athiune
Achall	Achall
Badb	Baidb,Badb,Bobd,Bodb,Bodhp,Boidb
Baiscne	Baīscne,Baiscne
Banba	Banba
Baíthén	Baíthén
Berba	Berba
Eóin	Eóin,Eoin,Eúin
Belach	Belach,Belocch,Belocch,Beluch
Bairdine	Bairdine
Benén	Benén,Benen
Benn	Benn
Suan	Suan,Suain
Beothach	Beothaig,Beothach
Berngal	Berngal
Bethe	Bethe
Bicne	Bicne,mBicne
Caích	Caích
Bili	Bili
Blaithmeics	Blaithmeics
Blathnát	Blathnod,Blatnad,Blathnát
Blaí	Blaí
Briugu	Briugu,Briugaid
Blod	Blod
Bláithine	Bláithini,Bláthine
Bresal	Bresal
Bregamos	Bregamos,Bregoman,Breaghmain,Breg,Bregamos
Bríanán	Bríanán,Bríanán,Brianan,Bríannán
Brethach	Brethach
Bricne	Bricne
Carbhre	Carbhre
Briccriu	Bricrend,Bricrend,Bricrind,Bricrinn,Bricriu,Bricriu,Bricriu Nemthenga,Briccriu
Nemthenga	Nemhenga,Nemthenga
Búanann	Búanann,Buan,Būanand,Būanond,Búain
Buri	Buri
Borbriathrach	Borbriathrach
Bras	Bras,Brass
Báeth	Báeth
Bélchú	Bélchú
Rochad	Rochad,Rochada
Caiss	Caiss
Cethern	Cethirn,Cethern
Cairbre	Cairbre,Cairpre,Corpre,Corpri,Coirpri,Cairpri
Cuanach	Cuanach
Cathbad	Cathbad,Catfad,Cathbad,Cathbath,Cathboth,Cathbud,Cathfaidh,Chathbada
Celtchar	Celtchar,Celtchair,Celtchar,Cheltchair,Cheltchar
Cellach	Cellaig,Cellach
Conchobar	Conchobar,Conchobar,Conchobor,Chonchobair,Chonchobar,Chonchobhair,Chonchobhar,Chonchobor,Chonchobuir,Chonchobur,Chonchubur,Conchobuir,Conchubur,Conchobair,Conchobhar,Conchobair,Conchobar,Conchobar,Conchobhar,Conchoboir,Conchobor,Conchobor,Conchobuir,Conchobur,Conchubar,Conchubhar,Conchubor,Conchubur,Conchufur,Concobar,Concoboir,Concobor,Concobur,Concopair,Concopor,Concopuir,Concubar,Concubor,Concupar,Connchubhar,Conqubar
Condere	Condere
Cruinniuc	Cruinniuc
Congalach	Congalach,Conghalach,Congalaig,Chongalaig
Cú	Cú,Choin,Chon,Con,Cu,Cv,Coin,Chú,Cū
Sétantae	Sétantae
CúChulaind	CúChulaind,Coinculaind,Coinculoinn,Conculaind,Conculainn,Cuchulaind,Cuchulainn,Cuculaind,Cuculainn,Cuqulaind,Cúchulainn,Cúculaind,Ququlaind,Qúqulaind
Culand	Culann,Cauland,Caulann,Culand,Chulaind,Chulainn,Culaind,Chulainn,Chulaind,Culainn,Cvlaind,Chulain,Culain,Chulinn,Culinn
CúRoí	CúRoi,CúRoí,Coinrai,Coinrui,Curai,Curoi,Qurai
Roí	Roí,Roi,Ruí,Rūi,Raí
Caínbrethach	Caínbrethach
Caíni	Caíni
Mágach	Mágach
Cet	Cet,Chéit,Céit,Cét
Cerna	Cerna
Cernach	Cernach,Chernaig,Cernaig,Cernoch,Ceruach,Cearnach
Conall	Conall,Chonaill,Chonall,Conaill,Conold,Conoll,Conull,Connall,Connaill
Cloen	Cloen
Guthbind	Guthbind,nGuthbind
Fáelad	Fáelad,Faelad
Connlongas	Connlongas,Connloinges
Cond	Cond,Con
Longas	Longas,Longes,
Cormac	Cormac,Chormac,Cormaic
Crónig	Chrónige,Chrónig,Crónig,Crónige,Cróenech
Cimboeth	Cimboeth
Cloen	Cloen
Cnogba	Cnogba,Cnoghbha
