ad-daí	atad
adarc	adarcaib
agad	aged
aicce	ace
aille	ailli
ainder	andrib
aingid	anais
airard	urard
aird	airdib,arda,ardai,ardda
aire	airi
airlabrae	erlabrai
airmit	airmid
airnocht	urnocht
airúath	erúath
aiscid	ascada,ascid
aithech	athig
aithnid	aithin
ale	ali
allaid	altaib
allmarach	allmaraig
alpae	alpi
alt	altaib
amae	amai
amna	amhna
anál	anáil,análaib
aníar	aniar
aprainn	apraind
ar	arin,orm,orraibh
ar-fich	arfich
ar-icc	eirged
ardán	ardan
argat	airgit,argaid,argait,arggait,argit
at-bail(l)	ábad
at-cluinethar	atchlos
attá	betis,bías,bítis,dobhi,dobhí,rabatar,rabi,rodbe,roptar,rotbia,rotbé,rotfia,rusboi,taít
baile	baili
bec	bic
bedg	bedc
beirid	berat
beltaine	beldine
betha	bethaid
bonn	bond
bratt	brutt
brecc	bréc,bric
bris(s)ed	brisiud
bris(s)id	brister
bruiden	bruighne
bruinne	bruindib
brága	brágit
bríathar	brethir,bréthir
buidech	buidig
buiden	budin
báeth	boeth
bág	báig
búaid	buad
búar	búair
cairptech	carptig
carpat	carbut
cathair	catrach,catraic,catraig
catt	cait
caur	caurad,curadh
cengal	cengul
cenn	cend-sa,cend-so,cennaib
cenél	ceniúil
cepp	cep
cethair	cetheora,cetheoræ,cethēora
ceól	céol
cindas	cinnas,cinnus
cināed	cinaed,cināed
clann	cloinn
cles	cliss
cluiche	cluchi
clíu	cliach,clíach,clīach
clúas	cluais
cnáim	cnámaib
co	corbo
coimét	coimed
colainn	collaib
coll	collaib
comairle	comarli
comlann	comlaind,comlond,comlund
commaídem	commaidmi
comthach	comhthaigh,comthaigh
con-alai	comlai
con-boing	conboing
con-gair	congairther
con-lá	comlai
connad	connaid
corcra	corcraib
cos	cossaib
coíca	caogad,coicait,coicid,coícait,coícdaib,cóeca,cóecait,cóecta,cóectaib,cóectu
crann	craind,crand,crund
cris	cressaib,criss
crod	crodha
cráeb	craoibhe
crécht	crecht
crét	cred,cret,créd
cró	cru
cródae	cróda,crodha
curadmír	curadmir,curadmír
cáel	caelaib
céile	céle,céli,celi
céir	ciaro
cét	cétaib
cétaín	cetno,cétna,cetna
cétnae	cetna,cetno,cétna
cía	ciar,cichib
cíall	céill
cían	cian
cíar	ciar
cís	ciós
cóir	córu
cú	cu-sa
cúairt	cuairt
dabach	dabaig
dara	andara
darail	darail
de	daib,dúinni,dúnd
deec	dec
delb	delbaib
dergór	dergóir,dergór
dixit	dixit
do	dúnd
do-beir	doradsad,tucus
do-gní	dingned,dogní-som,dorinnedh
do-icc	tainig,tísad,tísat
do-intaí	tinta,tintaí,tissed
do-tuit	torchratar
do-érni	térna
dorn	dornd
doír	dóera
drech	dreich
dál	dal
dé-gablach	degablach
déis	deis
dígal	digail,dígail
dúnad	dunaid,dúnaid
ed	edon
eólas	éolas
feb	fep
fer	bfer
feraid	ferait
fillid	fillios
findlíath	findliath,findlíath
fo-gaib	fúair
forcipol	forcibul
forlann	forlond
fris-gair	recair
fuillem	fuilem
fáiscid	faisg
fáith	fada
fégaid	fég
fér	feur
fét	fét
fíamuin	fiamhain
fír	fíor
fúan	fuan
gaibid	gab,gabh,gabus,gebed,gébad
gainithir	genid
gaisced	gaisge
gas	gass
genit	genid
glas	glass
glé	gle
gobae	goband
gránda	granna
gád	gaid
gág	gac
gáir	gairi
gáire	gairi
gúala	gualaind,gualainn,gualann,gúalaind
i	annsoin
ibid	iba
il	ilib
illand	illand
imbel	imlib
imdae	iomdaidh
immacaldam	imacallaim
immaig	immuich
indas	ionnus
indell	indill
indisid	innis
ingen	ingenaib
innonn	innund
is	comba,combad,combo,combu,combá,conda,condo,condot,conid,conidh,díambad,díambo,gur,gur'b,pa,raba
istig	is'taig
la	lat-su,latsu,lem-sa,lemsa,leusom,leó-som,libsi,lim-sa,limsa
ladar	ladair
lecc	licce,léic
lepaid	leaptha
lesainm	lesainm
lige	laigi,ligi
lonn	lond
lorg	luirg
luchta	luchta,luchtai
lá	lasodain,loí
láech	laich,laoch
láechas	laochra
lám	laimh,laimhe,lamh,lámaib
lán	lan,lana
lár	lar
léicid	leíg
léine	lénti
líath	liath
lín	lin,línaib
líne	line
ló	loí
lóeg	laoigh
lór	lor
lúath	luath
mac(c)	macaibh,maccaib
macha	mach
maidid	maidh
maidm	madma
maigen	maigni
mairg	maircc
maith	mathi,mathib
matan	maitin
maín	maínib
morna	morna
muc(c)	muic,muicc
méide	méde
méit	met
míad	miad
mó	móo
móit	moide
odorda	odarda
oenar	óenur
ol	oldas,oldás,olse
ord(d)	urd,órdaib
orgán	orgain
os	ossé
ro-icc	rainig
ro-saig	do-ríacht
romór	romóir,romór
roscách	roscach,roscaich,roscách,roscáich
ríam	riam,riamh
rím	rim
rúsc	ruisc
selb	seilb
serrda	serda
sessam	sesamh
side	sídi
sin	andsin,annsin
sinna	sinna
sirid	sirfed
sirite	siriti
slabrad	slabradaib
slecht	slechta
slechtaid	slechtai
slán	slan
slóg	slúagaib
snáthat	snathad
sruth	srotha
sám	sáimh
séitig	setig
sét	set,sétaib
síd	sid
síta	síta,sítai
taeb	taíb,táeb
taistel	tastil
tallann	talland
tellach	telaich
toga	togai
tosach	tossuch
trácht	tracht
trénfer	trénfer
trícha	tríchtaib
tugae	tuga
tuirem	turim
tulach	tulaig
turcbál	turcbáil
téit	rachadsa,rachus,teid,tíasad,tétaibtét
tír	tíri,tírib
túag	túaga
túath	túathaib
tús	tos
túsúadib	tus
uthidir	uthidir
áe	aei
áenfer	ainfer,oenfer,oinfer,áenfer,óenfir
áithe	áthi
álad	áltaib
álaind	áildem,áilldem
ám	amh
án	ána
éccomlonn	écomlond
én	eónu
étromm	étrom
íar	íarna
íarmóracht	iarmoracht
íarsuide	iarsuide,iersuide,iersuidi
íat	iad,iád,iat,siat,siád,síad,īat
ícc	icá
ír	ior,iór,íor,íra
ó	úadi,úadib,úaimse
óc	óga
óenlá	óenló
óir	oír
ós	uas,úasa
úati	úaite
