ad-muinethar	admoiniur
airbert	airberta
ad-anaig	ad-neastar
alacht	alachta
abra	amrai
abra	amru
andess	andes
atúaid	antúaith
arcat	arcait
argat	arcait
as-beir	as-bert
in	asin
i	asin
at-bail(l)	at-bath,atbail
as-beir	atberer
ad-gnin	atgénsa
athair	athar
at-reig	atrachtsa
fa,fadéin,is,ba,baïd,bó	bam
bein(n)se	beinnsea
beirid	berad
beó	beóa
beus	beósa
bil	biliu
beirid	biurt-sa
blaicce	blaicci
bláithine	bláthini
blíadain	blíadan
blíadain	blíadnaib
bliadain	blíadne
bliadain	blíadni
attá	boi
attá	boí10
breisim	bressim
bó	buaib
bél	bélaib
búaidre	búadre
cath	catha
celebrad	celebra
ceól	ceóla
cenn	ciund
claideb	claidiub
cloch	cloich
cluiche	cluichesi
cluiche	cluichiu
coire	coiri
cuirthi	coirthib
fo-ceird	coirthib
conlaus	comlaus
con-dïeig	con-diacht
con-ricc	con-rici
condla	conlai
con-scara	coscur
coscar	coscur
con-éirig	cota-érget
cranntaball	crandtabaill
créchtnaigid	créchtnaigis
crédumae	crédumai
cráes	cróes
cochae	cucu
curata	curada
césad	céssad
cía	cía-pad
cían	cíanaib
cía	cíaso
do-fich	da-fích
do-adbat	da-n-aidbded
do-airret	da-n-arraid
do-soí	da-soí
do-cuirethar	dacorustar
téit	dechotar
do-gní	do-géni
do-gní	do-génta
dolud	do-lluid
do-tét	do-lluid
dollotar	do-lotar
téit	do-lotar
do-bidci	do-s-bidc
do-íarmórat	do-s-íarmorat
do-aithig	do-sathigtis
do-beir	dobered
mé	dom-sa
frithisse	doridisi
frithissi	doridisi
díórdae	dí-órdai
éicen	ecen
eimer	emire
airgal	ergala
errad	erreda
é	esiut
attá	etraib
fo-ceird	fa-cairt
fadéin	fadeisin
farrad	farradsa
fercherdne	ferchertni
foaid	fessamar
fidchell	fidchill
fo-ceird	fo-cairt
fochloc	fochlóc
fadéin	fodén
foilngid	foilged
for-cain	forcetul
forcetal	forcetul
for	forsin
fém(m)ed	fémded
gaibid,co	gaibed
gaisced	gaiscid
gilla	gillae
gilla	gillai
glésaid	glésed
gníid	gníther
guba	gubai
gáir	gáiri
íarmi-foich	iarmi-foacht
ibid	ibu
imm-airicc	immairic
imm-sói	imsoí
imthrascrad	imthrascrud
indossa	ind-ossa
í	ind-í
inol	ineol
letha	l-letha
la	l-letha	
téit	luidseom
luimnich	luimniuch
luingín(e)	luingine
lóegaire	lóegire
lór	lóor
mac(c)án	macáin
marbtha	marbthe
midchuairt	midchúairt
mlegon,mligid,blegon	mlegun
molaid	moltais
ailill	oilella
olchena	olchene
oígidecht	oígidechte
rail	raill
téit	regadsa
téit	regas
ré	riasiu
ré	risin
ro-finnadar	ro-fes
attá	robo
scáthach	scáthaig
scé	scéith	
sceïd	scéith
semni	semne
sesra	sesre
sluindid	sloindi
sluindid	sloindim
slíab	slébe
suide	suidiu
sáith	sáeth
sét	sétu
suí	súithi
taithigid	tathigtis
tein(n)tide	teinfide
tibre	tipre
taeb	toíb
traig	traigthi
tre	tríasind
taithbéim	táthbéim
téit	tíagit
uisce	uisciu
ulaid	ulid
ailad	ultaib
othar	uthir
ásaid	ásais
éccosc	écosc
as-ren	érnib
ad-cí	étchiu
imb	ím
