ocus	&,is,ocus,agus
crett	crett
comdes	comdes
colg	colg
bláesc	bláesc
cuimlecht	cuimlecht
buaroite	buaroite
d	d
c	c
co	co
blénach	blénach
con-sní	con-sní
b	b
dar	dar
e	e
corpdíre	corpdíre
con-táirci	comthaircidi,con-táirci
brecc	brecc
corp	corp
con-srend	con-srend
con-foí	con-foí
búanaigid	búanaigid
eóraip	eóraip
f	ḟf,ḟh,β,βf,bḟ,f,bhf
fo-ben	fo-ben
feras	firus
cúaille	cúaille
cubat	cubat
crobang	crobaing,crobang
ingor	n-ingor
fadéin	fadéin,féin,fén
étla	étlód,etla,étla,étlád,étlúd,eltúgh
i	ī,ĭ,i
cen	cen
coimindrid	coimindrid
dead	dead
l	l
cétluth	cétluth,cétlud,cétlúd
m	m
briscaid	briscaid
bruigrecht	bruigrecht
brúchtaid	brúchtaid
commám	commám
conchlann	conchlann
crúan	crúan
n	n
créchtach	créchtach
o	o
garit	garit
gobaind	gobaind
s	s
ball	ball
búailid	búailid
búalaid	búalaid
con-suidigedar	con-suidigedar
breó	breó
buinne	buinne
t	t
béoaigidir	béoaigidir
crann	crann
cretair	cretair
cris	cris
u	u
cuing	cuing
cétóir	cétóir
amasc	amasc
puith	puith
a	a
in	a,in,an
is	is,ra,co,ní
no	na
in	na
con	con
cú	con
oc	con,co
ro	ra
ara	ar
ar	ar
íar	ar
ol	bar,for,far,ol,ar
tú	bar,far
for	bar,for,far,ar
bar	bar
áe	ó
úa	ó
óc	ó
ó	ó
an	an
ní	ní
mé	ni
tamall	tamall
