a-llama	allam	['ellam']
a-mmaidm	anmmaimm	['ainmm']
a-rrann	arrann	['arrann']
a-rrem	airnem	['airnem']
a-tongat	imtongat	['imm-toing']
a-tét	ad-tét	['ad-tét']
aa	a	['a', 'in']
abaind	aband	['ab']
aballgort	uallgort	['aball-gort']
aber	asber	['as-beir']
abhlaigh	athlaig	['athlaig']
abrand	aband	['ab']
abratchair	arachair	['arachair']
abrotchor	abratchor	['abratchor']
acai	aci	['oc']
acairbi	acairbe	['acairbe']
acaldoim	acaldaim	['acallam']
acallaimsi	acallaim	['acallam']
acallais	acallaim	['acallam']
acallma	acallta	['ad-gládathar']
acatár	acatar	['ad-cí']
acbáil	anbáil	['anbáil']
accad	acca	['acc']
accae	acca	['acc']
accaiside	accairde	['accarda']
accaldaim	acaldaim	['acallam']
accallaim	acallaim	['acallam']
accaltaim	acallaim	['acallam']
accamar	accatar	['ad-cí']
accar	acca	['acc']
accas	acca	['acc']
accasa	acca	['acc']
accassa	æccalsa	['eclais']
accat	acca	['acc']
accathar	accatar	['ad-cí']
accatár	accatar	['ad-cí']
accim	acci	['oc']
acciside	acclaide	['ad-claid']
acciu	acci	['oc']
accos	accor	['accor']
accotar	accatar	['ad-cí']
accu	acca	['acc']
ace	ac	['oc']
acend	acenn	['aicenn']
ach-mair	ath-úair	['úar']
achan	acan	['acan(n)', 'aicenn']
achas	acras	['occoras']
achis	acht	['acht']
achit	acht	['acht']
achnid	achned	['aithchned']
aci-sium	ainsium	['aingid']
acim	anim	['ainim(m)', 'ainim', 'ainimm']
acme	aicme	['aicme']
aco	ac	['oc']
acobar	acobair	['acobair']
acoldaim	acaldaim	['acallam']
acollaim	acallaim	['acallam']
acom-sa	acot-su	['oc']
acon	ocon	['oc']
acond	ocond	['oc']
aconom	accnam	['accnam']
acorthi	acartha	['ad-gair']
acot	acht	['acht']
acot-so	acot-su	['oc']
acotar	acatar	['ad-cí']
acotsu	actus	['actus']
acrann	acann	['acan(n)', 'aicenn']
acsin	asin	['i', 'in']
act	acht	['acht']
acum-sa	agam-sa	['oc']
acumsa	acus	['ocus']
acunni	acann	['acan(n)', 'aicenn']
acá	atá	['óthá', 'dar', 'attá', 'atá']
ad-baill	at-baill	['at-bail(l)', 'at-baill']
ad-bas	adbas	['adbas']
ad-berar	ar-berar	['ar-beir']
ad-cii	ad-fii	['ad-fét']
ad-ciu	ad-cain	['ad-cain']
ad-condarc	ad-condairc	['ad-cí']
ad-condarcatar	atcondarcatar	['ad-cí']
ad-coss	ad-cois	['ad-fét']
ad-cíu	ad-cí	['ad-cí']
ad-fet	ad-fen	['ad-fen']
ad-fil	ad-fii	['ad-fét']
ad-fétaiter	adfétaiter	['ad-fét']
ad-fíadat	adfíadar	['ad-fét']
ad-gairim	ad-gair	['ad-gair']
ad-gninad	ad-gnin	['ad-gnin']
ad-raba	ad-tarba	['attarba']
ad-ránic	ad-ráli	['ar-áili']
adabraib	adbraid	['adb(a)raid', 'adbaraid', 'ad-opair']
adaich	alaich	['alaich']
adaid	araid	['ara', 'airid']
adaidh	adaidhi	['ad-daí']
adaigh	adaig	['adaig']
adaigsin	ataighin	['ad-ágathar']
adaimed	adaind	['ad-annai']
adairc	adarc	['adarc']
adairce	amaisce	['amasc']
adald	adand	['ad-annai']
adamra	adamrae	['adamrae']
adamraib	adamair	['ro-finnadar']
adanta	aduanta	['adúanta']
adarca	adarcna	['adarcna']
adarcaib	adartain	['adartán']
adard	adart	['adart']
adbail	atbail	['at-bail(l)', 'at-bail(l)']
adbath	atbath	['at-bail(l)']
adbertha	asbertha	['as-beir']
adbertsadar	atbertsatar	['as-beir']
adboig	adaig	['adaig']
adchondairc	atchondarc	['ad-cí']
adchotar	adchota	['ad-cota']
adchuadamar	adcuademar	['ad-fét']
adchíu	atchíu	['ad-cí']
adchúaid	adhaid	['agad']
adchúalaid	adrúalaid	['in-otat']
adchúas	adchoas	['ad-fét']
adcluine	adluinn	['as-luí']
adcoimhced	adcoimced	['ad-cumaing']
adcomaing	adcumaing	['ad-cumaing']
adcon	adcot	['ad-cota']
adcondarc	atchondarc	['ad-cí']
adcáemnacair	adcæmnacair	['ad-cumaing']
adcúas	adcuas	['ad-fét']
addaig	adaig	['adaig']
addober	adlobar	['adlobar']
adell	adall	['ad-ella', 'adall']
adeochosa	adeochasa	['ad-teich']
adfed	adfet	['ad-fét']
adfeided	adféded	['ad-fét']
adfessa	adfessam	['ad-fét']
adfhíastar	adfíastar	['ad-fét']
adfiadhar	adfiadar	['ad-fét']
adfiadtar	adfiadatar	['ad-fét']
adgell	adgall	['aidgell']
adgignethar	adgigneadar	['ad-gainethar']
adgladad	adlacad	['adnacul']
adgládar	adgládur	['ad-gládathar']
adguidhe	adguidhi	['ad-guid']
adhaic	adlaic	['adlaic']
adhaich	adhaigh	['bé', 'adaig', 'agad']
adhaidh	aghaidh	['agad']
adhbal	adbal	['adbal']
adhbhalmhóir	adhbhalmhór	['aingech']
adhbulmhór	adhbhalmhór	['aingech']
adhluinn	adluinn	['as-luí']
adhpronnach	adbronnach	['adbronnach']
adhuar	adhar	['adraid', 'adar']
adhuich	adhaigh	['bé', 'adaig', 'agad']
adhuig	adruig	['ad-rig']
adhuigh	adhaigh	['bé', 'adaig', 'agad']
adindain	indain	['indain']
adiu	andiu	['indé']
adlennaib	imlennaib	['imliu']
adlóechda	adláechda	['adláechda']
admbert	asmbert	['as-beir']
admillid	aidmillid	['aidmillid']
admilliud	aidmillid	['aidmillid']
admilset	admilled	['aidmilled']
admilti	admailli	['admall']
admoildi	admailli	['admall']
admolta	admoltaid	['admoltaid']
adn	an	['a', 'in', 'an']
adnaic	adnai	['ad-annai']
adnaig	adaig	['adaig']
adoicc	aicc	['fidbocc', 'acc', 'ad-guid']
adraucet	adracht	['ad-rig']
adrethusa	adrethsat	['ad-reith']
adroas	atroas	['at-roí']
adroindi	adrind	['adrind']
adroinni	eadroinn	['eter']
adrolaicc	adrolaic	['oslaicid']
adrolla	adrollat	['ad-roilli']
adrumidir	adruimiduir	['ad-midethar']
adubhradur	adubhradar	['as-beir']
adubradur	adubratar	['as-beir']
aduid	aruid	['arraid']
aduig	adaig	['adaig']
adurt	adart	['adart']
aebdai	aeda	['áed']
aedheór	aedhear	['aer']
aei	aed	['áed']
aeiffi	aiffi	['aífe']
aeifi	aili	['aile']
aelpa	alpa	['albu']
aelpae	alpae	['albu', 'alpae']
aem	am	['is', 'aim', 'ain', 'imb', 'am', 'an']
aenig	enig	['enech']
aentaigem	oentaige	['oentaige']
aeregdu	airegda	['airegda (-ae)', 'airegda']
aerfitiud	airfitiud	['ar-peiti', 'airfitiud']
aes	ass	['a']
aess	ass	['a']
aeóir	aepir	['as-beir']
afa	ara	['aer', 'ara']
affrissi	aifrisi	['afforaise']
afraicc	afraic	['afraic']
agadsa	agad	['agad']
agair	anair	['anair']
agalla	analla	['anall']
agaltam	agallam	['acallam']
agam	aga	['aga']
agamsa	amsa	['amus']
agan	asan	['asan']
agas	agus	['ocus']
agat	aga	['aga']
agatair	agabair	['adabair']
agbáil	anbáil	['anbáil']
age	ag	['oc', 'ág', 'ag']
aged	aed	['áed']
aglend	alend	['ailenn']
agnomain	anmain	['ainim(m)', 'anmain']
agos	agus	['ocus']
agthar	athar	['athair']
agthi	aithi	['aithe']
agud	agus	['ocus']
aguibh	aibh	['aí']
aguinn	uainn	['ó']
aguinne	easguinne	['escong']
agum	agus	['ocus']
agum-sa	agam-sa	['oc']
agumsa	agus	['ocus']
aibheil	aiseil	['aisil']
aibliuch	ainiuch	['enech']
aic	ic	['oc']
aicci	aicc	['fidbocc', 'acc', 'ad-guid']
aiccther	aicher	['aicher']
aichnem	aithnem	['athnam']
aichni	aichne	['aithne']
aicia	aici	['oc']
aicigther	adcither	['ad-cí']
aicinta	aicénta	['aicénta']
aicther	aicher	['aicher']
aicti	aiti	['ad-fen']
aidbliu	aidbli	['adbal']
aidce	aidche	['adaig', 'amein']
aidchisi	aidchi	['adaig']
aidchisin	airchisid	['ar-ceissi']
aidci	aidchi	['adaig']
aidcid	aircid	['téit', 'ar-icc']
aidhci	aidchi	['adaig']
aididechta	adiechta	['adiec(h)t(a)']
aidleth	airlech	['airlech', 'ar-slig']
aidli	aili	['aile']
aidlind	aidlid	['ad-ella']
aidmillti	aidmillid	['aidmillid']
aidni	aidne	['aidne', 'lia']
aidqi	aidi	['suide']
aifi	aili	['aile']
aigenmair	agenmar	['aigen']
aightighi	aithnighi	['aithne']
aigib	aigid	['aigid', 'agad']
aigith	aigeth	['agad']
aigle	aile	['aile', 'ale', 'aille']
aigli	aili	['aile']
aigneuch	aignech	['aignech']
aigthe	aighe	['teglach']
aii	aili	['aile']
ailbi	aili	['aile']
ailche	aidche	['adaig', 'amein']
ailchi	aidchi	['adaig']
aildium	aiplium	['at-bail(l)']
aildiumh	andiumh	['indiu']
ailee	aile	['aile', 'ale', 'aille']
ailellai	ailella	['ailill']
ailellá	ailella	['ailill']
ailfea	aile	['aile', 'ale', 'aille']
ailfitir	ailfiter	['ailid']
ailfius	ainfis	['ainfis']
ailgesach	áilgesach	['áilgesach']
ailgius	ailgis	['áilges']
ailil	ailill	['ailill']
ailile	ailill	['ailill']
aililla	ailill	['ailill']
ailimain	ailemain	['ailemain', 'ailid']
ailis	aili	['aile']
ailli	aili	['aile']
ailliu	aisliu	['aislinge']
ailmi	aili	['aile']
ailtnidhe	ailtnide	['ailtnide']
ailtnidi	ailtnide	['ailtnide']
ailtu	ailte	['ailte']
ailuhine	ailsine	['ailsine']
aimelc	óimelc	['imbolc']
aimergin	aimirgin	['amergin']
aimglioci	aimglicc	['aimglicc']
aimhréidhe	aimréide	['aimréide']
aimircin	aimirgin	['amergin']
aimreide	aimréide	['aimréide']
aimreidhe	airsidhe	['arsaid']
aimseir	aimsir	['aimser']
ainbtinee	ainbfine	['ainbthen']
ainchis	ainchios	['ainces']
aindir	indir	['indir']
ainendach	aicennach	['aicennach']
aineolus	aineólas	['aineólas']
ainfer	ainfes	['ainfes']
ainfet	ainfed	['ainfed']
ainfial	ainfíal	['ainfíal']
ainfir	ainfire	['ainfire']
aingi	aigi	['aitherrach', 'aigi', 'ag']
ainius	úainius	['úainius']
ainle	aile	['aile', 'ale', 'aille']
ainli	aili	['aile']
ainm-se	ainnise	['aindeise']
ainm-side	ainmide	['ainmide']
ainm-siu	aig-siu	['ad-ágathar']
ainmniged	airmnige	['airmnige']
ainmse	ainmde	['ainmmde']
ainmside	ainmide	['ainmide']
ainn	ann	['i', 'ann', 'an']
ainnrif	ainnli	['ainnel']
ainsist	aincrist	['ainc(h)rist']
airbi	airli	['airle']
airbriathrad	airbríathrad	['airbríathrad']
airbule	airbuile	['airbuile']
airc-siu	airc-si	['téit']
aircdidhe	airgdide	['airgdide']
aircdidi	aircid	['téit', 'ar-icc']
airced	aircid	['téit', 'ar-icc']
aircetmair	airchomair	['airchomair']
aircheltrai	aircheltaid	['aircheltaid']
airchetail	airchetal	['airchetal', 'ar-cain']
airchetul	airchetal	['airchetal', 'ar-cain']
airchisecht	oirchisecht	['oirchisecht']
airchissis	airchissid	['ar-ceissi', 'airchissid']
aircit	aircid	['téit', 'ar-icc']
airciu	aircid	['téit', 'ar-icc']
airctech	aircthech	['aircthech']
airdarcu	airdarcus	['airdircus']
airdbiu	airdriu	['inairdriuch']
airdcend	aircend	['airchinn']
airdcind	aircid	['téit', 'ar-icc']
airdcinn	aircenn	['aircenn']
airdcrc	airderc	['airdirc']
airderc-sa	airderca	['airdeirce']
airdercai	airderca	['airdeirce']
airdercus	airdircus	['airdircus']
airdi	aird	['aird']
airdib	airib	['aire']
airdirci	airdircid	['airdircid']
airdlius	airthius	['airthius']
airdmessa	airdmes	['airdmes']
airdmius	airthius	['airthius']
airdri	airdriu	['inairdriuch']
airdrí	ardrí	['ardrí']
airdrígh	airríge	['airríge']
aireccar	airecar	['airecar']
airecdai	airegda	['airegda (-ae)', 'airegda']
airechais	airechas	['airechas']
airechta	airechtae	['airechtae']
airechtus	airechtas	['airechtas']
airechus	airechas	['airechas']
airecor	airecar	['airecar']
airecrad	aircrad	['airacrad']
airee	aire	['aire']
airegdai	airegda	['airegda (-ae)', 'airegda']
airenech	airnech	['airne']
airenuch	airenach	['airenach']
airesin	airgsin	['airgsin']
aireur	airer	['airer']
airfedaib	aidedaib	['aided']
airfidig	airidig	['airgdech']
airfiti	airfitid	['airfitid']
airfitig	airfitid	['airfitid']
airfius	airḟius	['airis']
airfoichlech	airḟoichlech	['airḟoichlech']
airgdidib	airgdide	['airgdide']
airgdidú	airgdide	['airgdide']
airgfitir	airfitid	['airfitid']
airgit	airgid	['téit', 'oirgid']
airgiut	airiut	['for']
airgénus	airinnus	['airinnus']
airi	airm	['airm']
airicar	airecar	['airecar']
airichlis	airichlid	['ar-foichlea']
airichlit	airichlid	['ar-foichlea']
airicul	airecal	['airecal']
airie	aire	['aire']
airiges	airides	['airides']
airigesstar	airgestar	['oirgid']
airigestar	airgestar	['oirgid']
airigestár	airgestar	['oirgid']
airigh	airig	['airech']
airigi	airig	['airech']
airigmer	airmer	['airmer']
airigset	airget	['argat']
airim	airm	['airm']
airim-sa	airimda	['airimda']
airimhthe	oirighthe	['airigid']
airimtir	airigtid	['airitid']
airinach	airinech	['airenach']
airinig	airidig	['airgdech']
airinigh	airidig	['airgdech']
airinighi	aithnighi	['aithne']
airiniuch	ainiuch	['enech']
airinniuch	airinniud	['airinniud']
airinuch	airinech	['airenach']
airis-siu	airisiu	['airisiu']
airiseom	airisem	['airisem', 'ar-sissedar']
airisit	airisiu	['airisiu']
airithe	airite	['airite']
airitin	airiten	['airide']
