a	assind,assu
abairt	ebairt,ábairt,eepert
abann	abaind
acallam	accaldaim,accallaim,acallam	accaltaim,imacallaim
ad-cí	adchíu,at-chíu,at-connarc,atchonnairc,atchonnarc,atconnarc
ad-teich	adaich
adaig	adaigh,aidci,oidhche
aile	aroili
ailill	aililla
aindíaraid	andíaraid
airchur	urchur
aird	airdi
airenach	airinach
airgdide	airgdidib
airnaide	irnaidi
airscél	airscéla
airther	airthir
aislinge	aislingi,aslingi
aitherrach	aitheruch,atheroch
alchaing	alcuing
amergin	amargin
amlad	amhlaidh 
amlaid	amhlaidh
anair	anoir
anta	antan
apair	apar
ara	arai
aradnacht	aradnachta
archena	arcena
as-beir	apar,aspert,asrubairt,at-bert,at-rubairt,dubhairt,isbert,ismbert,ispert,isrubart,ebairt,ábairt,eepert
asna	asnai
at-reig	at-racht,eirigh,érgi
attá	at-tá,atáat,batir,bui,bvi,bátir,bátár,bítís,ro-boí,roboi,ropo,rusbui,raibhe,bíait,atát
badb	bodba
baile	bale
bantrocht	bantracht
bec	becc
beirid	bérad,ruca,rucc,ructhar
belltaine	beltine
ben	mna
benn	beind
bennacht	bennachtan
biait	bíait
bliadain	bliadan,bliadhna,blíadna,blíadnae
braine	braini
bratt	bruit
brecc	bricc
brega	brig 
bregamos	brig
breth	bretha
briccne	bricni
bricne	bricni
bris(s)id	brissis
bruiden	bruden
bráthair	brathair
brí	brig 
bud	budh
buide	bude,buidi
buiden	buden,buidin
buidne	buidni
buille	builli
báeth	baíthi
bán	báin,bána
béim	beim
béimnech	bémnech
bél	belaib,beola,beólu,béolu
búaid	buadhai,buaid,buaidh
cach	caich,gacha
cailcín	cailcin
calléic	coléic
carpat	carbat,carpait,carptib,carput
casán	cassán
cathaig	catraig
caur	curad
cech	ceuch
cechtardae	cechtarda
celebrad	celiubrad
cern	cerno
cerna	cerno
cethair	cethri,cethéora
cindas	cindus
ciuil	civil
claidbíne	claidbíni
cleitte	cleite
cles	cleasa,clesa,cless,cliuss
cloch	clocha
cloen	clóen
cluiche	cluchiu,cluche
clár	clar
clárad	cláraid
co	cucund,cusna
coicrích	cocrích
coimitecht	coimhdecht
colpthae	colptha
comairle	comairli 
comarc	comhrac,comraic,comroc,comruc
commus	comus
comram	comrama
con-airlethar	comairli
con-dïeig	cungid 
con-icc	connici
con-tuili	cotlad
conall	conailliu
conchobar	concobair,concopar,concupor
connachta	connachtaig
cotlud	cotlad
coíca	coica
cruth	crut
crécht	créchta
crédumae	credumai,créduma
crích	críche
crúachu	cruachnaib
crúaid	cruaid
cuimnech	cumnech
cuingid	cungid
curata	caurata
custal	custol,custul
cách	cáich
cáem	caoimh,cáema,cóem
cáinte	cánte
céile	ceile
céle	ceile 
cía	ciarbo
círdub	cirdub
cóiced	cóicid,cúiced
cóir	córi
cúailnge	cualnge
cúailnge	cualngi
cúailnge	cúailngi
cúailnge	cúalngi
cúchulaind	coinculainn
cúl	cúlu
daimid	damh 
dait	dait-siu
dam	damh
dathó	dá-thó
de	de-sin,díobh,dís,do-som,div,dii 
deichelt	dechelt
deichtre	dechtere
diad	díadh 
dlecht	dleacht
do	dov,duit-siu,dúib-si,damhsa,dii,do-som,damhsa,doibh,dóibh,do-ssom,dó-som,dóib-som,dósom
do-beir	do-beram,do-bérad,dobér,tucuis,do-bert,dosbert,tucc
do-cing	toichim 
do-cuirethar	tárla
do-cumlai	documlát
do-fúarascaib	tuarascbáil
do-gní	dogníat,dognítis,dogénad,dogéntar,doníther,doringned,doringni,denam
do-icc	dadánic,dodánic,domiced,dománic,tainic,tanac,tancatar,tancotar,tanic,táncatár,ticfa,ticfad,tici,tictís 
do-tuit	dofuit
do-tét	dorag-sa,dothíagat,totháet,taidecht,lvid
do-éccai	d-an-éci,degamra
dochum	dochom,docum
doib	doibh
dollotar	do-llotar,dollotár 
dom	damh
domain	domuin
domun	domuin
drechtaid	at-raachtatar
drinnrosc	drinnroisc
drochet	droichit,droichitt
druí	druíd
druídecht	druídechta
drécht	dréchta
dé	díadh
déicsiu	décsin,déicsin
dénum	denamh,denamh,denam
díbirciud	diubhracadh
dírimm	dírim
dóel	doeltengau
dóib	dóibh
dúnad	dunad,dunaidh,dúnud,dunaid
dúnaid	dunaid
ech	eeach,euch
ed	edh
emain	eomain
errad	eerred,erred
errgi	ergi
eter	etorra,eturru
fadéin	fodeisin,fodesin
fagbál	fagbáil
fairrge	farci
faithche	faithchi,fathchi
farrad	farrud
feb	febe,feibe
feib	feibe
feidid	feidir
femen	femun
ferann	ferund
ferg	ferge
fergus	ferguis
fertas	fertsib
fichid	fhich
finchad	findchad
findruine	finddruini,findruini
fis	fios 
fled	fledi,fleid
fo-ceird	corthi
fo-dáli	fodáilter
fo-fera	fot-era
fo-gaib	uairi
fo-reith	faráith
fo-ácaib	fagbad,fargaib,fácbaid
focherd	focerd,focherda
fogal	fhaghail
foglaimm	foghluim
foglamtha	foghlamtha
fola	folai
for	fair-seom,form-sa,forsan,forsind,forsinn
foraire	forairi
forcipol	forcipul
forloiscthe	forloiscthi
forrúad	forruad
frecairt	frecart
fri	frim-sa,fris-seom,frisna,fría,fríu,risan,risna,riu,riss
frithissi	doríssi
fritháilem	frithálim
fáebar	fáebur
fáilid	fáelti 
fáilte	fáelti,failte
fégad	fegad
fér	fergort
